pakiet,wersja_lub_rewizja_w_root,rola,deklarujący_odbiorcy,decyzja
aes,0.9.1,Szyfrowanie blokowe lub tryb szyfrowania,tentaflow-hardware,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
aes-gcm,0.10.3,Szyfrowanie blokowe lub tryb szyfrowania,tentaflow-core; tentaflow-hardware,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
android_logger,0.15.1,Logi aplikacji i platformowe adaptery logowania,tentaflow-mobile,"Pozostaje: log jest fasadą używaną przez część zależności, tracing modeluje zdarzenia i spany, pozostałe pakiety to odbiorniki i adaptery platformowe."
anyhow,1.0.102,Obsługa błędów aplikacyjnych i typowanych,forge-cli; forge-server; tentaflow; tentaflow-cli; tentaflow-client-native; tentaflow-coding-agent-bridge; tentaflow-core; tentaflow-desktop-core; tentaflow-desktop-linux; tentaflow-desktop-macos; tentaflow-desktop-windows; tentaflow-hardware; tentaflow-mobile; tentaflow-sidecar; tentaflow-teams-bot; tentaflow-transport; tentaflow-ui-schema; tentaflow-voice,"Ujednolicono deklaracje wersji. Pozostaje: anyhow przenosi kontekst błędów aplikacji, thiserror definiuje typowane publiczne błędy."
approx,0.5,"Testy integracyjne, porównania i fuzzing",tentaflow-slam,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
arc-swap,1.7.1,Synchronizacja i pamięci podręczne w procesie,tentaflow-core; tentaflow-teams-bot,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
argon2,0.5.3,Haszowanie haseł i wyprowadzanie kluczy,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
assert_cmd,2,"Testy integracyjne, porównania i fuzzing",tentaflow-cli,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
async-stream,0.3.6,"Środowisko asynchroniczne, strumienie i kanały",tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
async-trait,0.1.89,Makra proceduralne i rejestracja implementacji,tentaflow-core; tentaflow-sidecar; tentaflow-transport,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
axum,0.8,Serwer HTTP i warstwy transportu HTTP,forge-server; tentaflow-coding-agent-bridge,"Pozostaje: to warstwy jednego stosu HTTP, a nie niezależne implementacje tej samej aplikacyjnej funkcji."
base64,0.22.1,Kodowanie tekstowe danych binarnych,tentaflow-addon-go2; tentaflow-addon-sdk; tentaflow-addon-tentavision; tentaflow-cli; tentaflow-core; tentaflow-hardware; tentaflow-teams-bot,Ujednolicono deklaracje wersji. Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
bindgen,0.72.1,Granice FFI i generowanie bindingów,tentaflow-zvec-sys,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
blake3,1.8.5,Skróty i sumy kontrolne,tentaflow-core,"Pozostaje: poszczególne algorytmy są częścią formatów plików, protokołów lub modeli. Jedna nazwa funkcji skrótu nie pozwala zmieniać algorytmu na drucie."
bollard,0.21.0,Zarządzanie kontenerami Docker,tentaflow-core,Pozostaje: osobna rola w podanych odbiorcach; wersja i źródło są zarządzane centralnie.
burn,0.21,Inferencja oraz serializacja i konwersja modeli Burn,burn-spike; tentaflow-core,"Pozostaje: backendy mają różne możliwości, wymagania sprzętowe i sposób wdrażania; nie są wymiennymi bibliotekami pomocniczymi."
burn-onnx,0.21,Inferencja oraz serializacja i konwersja modeli Burn,burn-spike,"Pozostaje: backendy mają różne możliwości, wymagania sprzętowe i sposób wdrażania; nie są wymiennymi bibliotekami pomocniczymi."
